Año;Cód;localidad;Vacunados sector_publico;Censo;Proporción;Vacunados sector_privado;Proporción2
2025;2;Chapinero;4527;73264;6,2;3624;11,1
2025;3;Santa Fe;3684;62704;5,9;774;7,1
2025;4;San Cristobal;20445;255932;8;4233;9,6
2025;5;Usme;19377;178011;10,9;3218;12,7
2025;6;Tunjuelito;6309;67579;9,3;3507;14,5
2025;7;Bosa;31841;346634;9,2;8762;11,7
2025;8;Kennedy;36841;458935;8;20961;12,6
2025;9;Fontibón;8781;153516;5,7;10611;12,6
2025;10;Engativá;32238;336128;9,6;18613;15,1
2025;11;Suba;42837;473367;9;25608;14,5
2025;12;Barrios Unidos;2688;45659;5,9;13429;35,3
2025;13;Teusaquillo;1560;50985;3,1;6269;15,4
2025;14;Los Mártires;2406;33571;7,2;1589;11,9
2025;15;Antonio Nariño;2465;33642;7,3;5353;23,2
2025;16;Puente Aranda;5705;142359;4;6153;8,3
2025;17;Candelaria;392;6297;6,2;272;10,5
2025;18;Rafael Uribe;18765;203324;9,2;3880;11,1
2025;19;Ciudad Bolívar;33093;326322;10,1;3915;11,3
2025;20;Sumapaz;469;725;64,7;0;64,7
2025;0;Distrito;285866;3466628;8,2;160386;12,9
